generation,Individual,chromosome_ID,genes,fitness,test_EXP_VAR_SCORE,test_MAE,test_MAPE,test_MAX_ERROR,test_MSE,test_R2,test_RMSE,train_EXP_VAR_SCORE,train_MAE,train_MAPE,train_MAX_ERROR,train_MSE,train_R2,train_RMSE
0,0,2_8,"[0.017318, 0.349, 1, 8, 'relu', 'mape', ['LSTM'], 'Ftrl']",73.04608082319699,0.7176049782334801,5.44057841097698,0.2210108625331384,53.43466659545898,73.04608082319699,0.6623645306219603,8.546699996091883,0.7415794966096838,6.581714751679124,0.2597282580870304,66.41240352630615,103.45966490285252,0.6725906280273315,10.17151241963812
0,1,0_1,"[0.089102, 0.266, 2, 32, 'sigmoid', 'mae', [['LSTM', 'GRU']], 'RMSprop']",76.58434654755021,0.8187650692515998,6.918912190653449,0.3097215066559214,64.11275634765624,76.58434654755021,0.6460098679875915,8.751248285104829,0.8535556312232571,7.344478639012004,0.3271793819262389,67.40284961700439,87.6979833712407,0.7224701850154961,9.364720143775823
0,2,0_2,"[0.089739, 0.149, 4, 16, 'softsign', 'mape', ['GRU'], 'SGD']",117.26100949393069,0.7675962220836161,8.315425758374213,0.3350882783496586,54.59301490783692,117.26100949393069,0.4579931526230066,10.828712273115888,0.7782190634938022,9.584416855986902,0.3461944777237582,70.86016553878784,158.05094324296206,0.4998305850356632,12.57183134006188
0,3,0_3,"[0.045603, 0.399, 2, 32, 'sigmoid', 'mae', [['GRU', 'SimpleRNN']], 'Ftrl']",220.73827438555108,0.0027948598833771,10.293478798221118,0.5273516670145677,65.51511924743653,220.73827438555108,-0.0203021167180281,14.857263354519604,0.0028801185469641,12.682472992933436,0.5950628320130752,65.53258651733398,355.12833333797244,-0.1238422693236482,18.844848986870986
0,4,1_8,"[0.076634, 0.358, 1, 32, 'relu', 'mae', ['GRU'], 'Nadam']",284.8828522290008,2.220446049250313e-16,10.730384998544125,0.4051168834815442,71.6253935623169,284.8828522290008,-0.3167928305819214,16.8784730419846,0.0,14.28690623878868,0.5077957987829872,71.63539356231689,469.4179639680014,-0.4855242467657996,21.66605557013093
0,5,1_9,"[0.023294, 0.295, 2, 8, 'elu', 'mape', [['GRU', 'LSTM']], 'RMSprop']",285.4836007132293,0.0937901154299956,10.817060739786838,0.3823367083025463,72.28800865173339,285.4836007132293,-0.3195696256428582,16.89625996228838,0.0661822012506364,14.4254330763594,0.4771012258864181,564.9339111328125,471.2115246657026,-0.4912001648366788,21.70740713824897
0,6,0_6,"[0.085843, 0.497, 4, 16, 'relu', 'mse', ['GRU'], 'Adam']",293.7665981237941,2.220446049250313e-16,10.922702399018664,0.4039036238699607,72.14559238433839,293.7665981237941,-0.3578555088422894,17.139620711199946,0.0,14.558331417668205,0.5082871554073389,72.15559238433838,482.5753622830166,-0.5271622660186011,21.967598008954383
0,7,0_7,"[0.065482, 0.388, 4, 16, 'relu', 'mape', ['LSTM'], 'Adam']",331.3913513841549,2.220446049250313e-16,11.875715575043548,0.4165249471054797,74.07261436462403,331.3913513841549,-0.531765608934349,18.20415753019499,0.0,15.74381873408466,0.5229174370840982,74.08261436462402,536.0314127344506,-0.6963297567781881,23.152352207377344
0,8,0_8,"[0.069247, 0.151, 2, 16, 'softplus', 'mape', [['LSTM', 'SimpleRNN']], 'Nadam']",375.9489134175442,2.220446049250313e-16,13.18346325826221,0.4579665359982615,75.98009937286378,375.9489134175442,-0.7377207156552419,19.38940209025395,0.0,17.17907170568477,0.5581767342469673,75.99009937286377,596.2597675049752,-0.8869289417734301,24.418430897684136
0,9,0_9,"[0.083488, 0.257, 4, 32, 'relu', 'mse', ['LSTM'], 'Adamax']",500,0.0,23.323305577295557,0.9994092735071778,86.67000000022352,760.3225758403876,-2.514382522368898,27.573947411286397,0.0,27.431016167271952,0.999428105648652,86.68000000022352,1068.4554659534206,-2.381243631680554,32.687237049855106
1,0,3_2,"[0.017318, 0.349, 1, 16, 'softsign', 'mape', ['LSTM'], 'SGD']",26.56555093346062,0.8945730992939939,3.3135522241616053,0.1414288267432938,47.71785064697265,26.56555093346062,0.8772080287179926,5.154178007545007,0.8947994376756538,4.085278776946056,0.1649611882033928,70.30108446121216,38.98198803929861,0.8766372553576584,6.243555720845182
1,1,7_5,"[0.045603, 0.399, 2, 32, 'sigmoid', 'mae', [['GRU', 'SimpleRNN']], 'RMSprop']",27.375943637189128,0.8778898186655076,3.615359652544712,0.2001569959329127,47.49254516601562,27.375943637189128,0.873462210765539,5.23220256079494,0.894278753263839,4.028585028715974,0.2514125704949054,63.11456436157226,34.08945786295738,0.8921201996905763,5.838617804151714
1,2,1_2,"[0.003746, 0.319, 1, 16, 'tanh', 'mape', ['LSTM'], 'Ftrl']",32.82737109458109,0.8638484425717874,3.760435164145099,0.1662466453180934,47.64409347534179,32.82737109458109,0.8482644828708432,5.729517527207775,0.8622771715530587,4.595715689066547,0.2023486634094829,68.17915863037109,47.689792330373045,0.8490804607664652,6.905779632335008
1,3,1_3,"[0.089739, 0.149, 4, 8, 'relu', 'mape', ['GRU'], 'Ftrl']",70.1093035259271,0.8161822949762444,6.059564119840341,0.2469942264889264,54.16783996582031,70.1093035259271,0.6759389780125395,8.373129852446283,0.8333214780711735,7.16277710549214,0.2943296301438313,66.62065166473388,96.0884157417038,0.6959177484154744,9.802469879663176
